filename,flip_type,bbox_coords,normal_abnormal
sperm_morph_01_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 259, ""top_left_y"": 213, ""bottom_right_x"": 684, ""bottom_right_y"": 370}","{""Normal/Abnormal"":""A""}"
sperm_morph_01_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 91, ""top_left_y"": 211, ""bottom_right_x"": 516, ""bottom_right_y"": 368}","{""Normal/Abnormal"":""A""}"
sperm_morph_01_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 259, ""top_left_y"": 211, ""bottom_right_x"": 684, ""bottom_right_y"": 368}","{""Normal/Abnormal"":""A""}"
sperm_morph_02_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 55, ""top_left_y"": 82, ""bottom_right_x"": 692, ""bottom_right_y"": 281}","{""Normal/Abnormal"":""A""}"
sperm_morph_02_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 83, ""top_left_y"": 300, ""bottom_right_x"": 720, ""bottom_right_y"": 499}","{""Normal/Abnormal"":""A""}"
sperm_morph_02_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 55, ""top_left_y"": 300, ""bottom_right_x"": 692, ""bottom_right_y"": 499}","{""Normal/Abnormal"":""A""}"
sperm_morph_03_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 231, ""top_left_y"": 157, ""bottom_right_x"": 706, ""bottom_right_y"": 391}","{""Normal/Abnormal"":""A""}"
sperm_morph_03_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 69, ""top_left_y"": 190, ""bottom_right_x"": 544, ""bottom_right_y"": 424}","{""Normal/Abnormal"":""A""}"
sperm_morph_03_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 231, ""top_left_y"": 190, ""bottom_right_x"": 706, ""bottom_right_y"": 424}","{""Normal/Abnormal"":""A""}"
sperm_morph_04_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 131, ""top_left_y"": 195, ""bottom_right_x"": 701, ""bottom_right_y"": 350}","{""Normal/Abnormal"":""A""}"
sperm_morph_04_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 74, ""top_left_y"": 231, ""bottom_right_x"": 644, ""bottom_right_y"": 386}","{""Normal/Abnormal"":""A""}"
sperm_morph_04_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 131, ""top_left_y"": 231, ""bottom_right_x"": 701, ""bottom_right_y"": 386}","{""Normal/Abnormal"":""A""}"
sperm_morph_05_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 202, ""top_left_y"": 125, ""bottom_right_x"": 735, ""bottom_right_y"": 427}","{""Normal/Abnormal"":""A""}"
sperm_morph_05_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 40, ""top_left_y"": 154, ""bottom_right_x"": 573, ""bottom_right_y"": 456}","{""Normal/Abnormal"":""A""}"
sperm_morph_05_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 202, ""top_left_y"": 154, ""bottom_right_x"": 735, ""bottom_right_y"": 456}","{""Normal/Abnormal"":""A""}"
sperm_morph_06_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 158, ""top_left_y"": 50, ""bottom_right_x"": 710, ""bottom_right_y"": 403}","{""Normal/Abnormal"":""N""}"
sperm_morph_06_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 65, ""top_left_y"": 178, ""bottom_right_x"": 617, ""bottom_right_y"": 531}","{""Normal/Abnormal"":""N""}"
sperm_morph_06_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 158, ""top_left_y"": 178, ""bottom_right_x"": 710, ""bottom_right_y"": 531}","{""Normal/Abnormal"":""N""}"
sperm_morph_07_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 52, ""top_left_y"": 151, ""bottom_right_x"": 695, ""bottom_right_y"": 259}","{""Normal/Abnormal"":""N""}"
sperm_morph_07_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 80, ""top_left_y"": 322, ""bottom_right_x"": 723, ""bottom_right_y"": 430}","{""Normal/Abnormal"":""N""}"
sperm_morph_07_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 52, ""top_left_y"": 322, ""bottom_right_x"": 695, ""bottom_right_y"": 430}","{""Normal/Abnormal"":""N""}"
