filename,top_left_x,top_left_y,bottom_right_x,bottom_right_y,normal_abnormal
sperm_morph_1026_resized.jpeg,15,250,145,449,Abnormal
sperm_morph_296_resized_lr.jpeg,125,115,607,528,Normal
sperm_morph_780_resized_lr_ud.jpeg,161,13,572,474,Abnormal
sperm_morph_595_resized_ud.jpeg,138,64,534,397,Normal
sperm_morph_880_resized.jpeg,138,255,613,477,Normal
sperm_morph_1021_resized.jpeg,401,464,765,569,Normal
sperm_morph_950_resized_lr.jpeg,38,201,104,354,Abnormal
sperm_morph_90_resized_ud.jpeg,18,304,220,453,Abnormal
sperm_morph_213_resized.jpeg,209,21,456,573,Abnormal
sperm_morph_359_resized_ud.jpeg,116,52,736,240,Normal
sperm_morph_88_resized_lr.jpeg,126,125,735,449,Abnormal
sperm_morph_954_resized.jpeg,198,170,508,435,Normal
sperm_morph_1107_resized_lr.jpeg,121,41,613,496,Normal
sperm_morph_730_resized_lr_ud.jpeg,297,189,497,289,Abnormal
sperm_morph_546_resized_lr.jpeg,217,318,629,494,Abnormal
sperm_morph_772_resized_ud.jpeg,431,220,662,394,Abnormal
sperm_morph_578_resized_lr_ud.jpeg,184,207,617,442,Abnormal
sperm_morph_146_resized_lr_ud.jpeg,62,188,540,419,Abnormal
sperm_morph_605_resized_ud.jpeg,658,15,764,492,Abnormal
sperm_morph_302_resized_ud.jpeg,247,241,739,558,Normal
sperm_morph_92_resized.jpeg,52,152,312,307,Abnormal
sperm_morph_362_resized_lr.jpeg,525,216,651,577,Abnormal
sperm_morph_289_resized.jpeg,17,16,533,347,Normal
sperm_morph_279_resized.jpeg,249,193,714,543,Abnormal
sperm_morph_326_resized.jpeg,523,238,769,373,Abnormal
sperm_morph_184_resized_lr.jpeg,195,27,758,438,Abnormal
sperm_morph_193_resized_ud.jpeg,61,33,544,425,Abnormal
sperm_morph_307_resized_lr_ud.jpeg,344,465,603,574,Abnormal
sperm_morph_751_resized_lr_ud.jpeg,219,103,583,474,Abnormal
sperm_morph_919_resized_lr_ud.jpeg,305,103,704,490,Normal
sperm_morph_1068_resized_lr.jpeg,98,72,599,350,Normal
sperm_morph_776_resized_lr_ud.jpeg,105,86,412,323,Normal
sperm_morph_272_resized_ud.jpeg,76,160,628,493,Normal
sperm_morph_997_resized_lr.jpeg,207,171,655,455,Abnormal
sperm_morph_1032_resized_lr.jpeg,91,150,460,357,Normal
sperm_morph_1019_resized_ud.jpeg,73,187,615,541,Normal
sperm_morph_53_resized.jpeg,75,63,511,478,Abnormal
sperm_morph_416_resized_lr.jpeg,192,106,741,421,Abnormal
sperm_morph_665_resized_ud.jpeg,143,116,609,452,Abnormal
sperm_morph_764_resized.jpeg,7,22,261,152,Abnormal
